train_number,station_code,day_of_week,month,is_holiday,weather,scheduled_arrival_hour,delay_minutes
12007,BSB,6,2,0,Stormy,23,37
12008,HWH,2,2,0,Foggy,19,60
12007,NDLS,1,1,0,Stormy,17,7
12009,LKO,4,5,0,Stormy,11,32
12003,HWH,4,6,0,Stormy,6,27
12009,HWH,6,10,0,Foggy,10,53
12008,LKO,2,2,0,Stormy,17,27
12002,DDU,4,1,0,Stormy,16,6
12006,PNBE,1,11,0,Clear,10,0
12009,BSB,0,3,0,Stormy,11,2
12009,CNB,1,9,0,Foggy,9,108
12008,LKO,5,10,0,Rainy,17,72
12006,HWH,0,6,0,Foggy,19,57
12008,LKO,5,3,1,Foggy,18,108
12006,CNB,6,9,0,Clear,11,45
12005,CNB,3,8,0,Clear,14,22
12008,PNBE,1,8,0,Foggy,16,129
12003,PNBE,5,2,0,Clear,12,31
12002,CNB,2,8,0,Rainy,15,35
12005,PNBE,5,8,0,Clear,14,43
12007,NDLS,0,2,0,Clear,12,16
12005,DDU,5,7,0,Clear,1,49
12004,PNBE,0,9,0,Foggy,21,101
12006,PNBE,2,10,0,Rainy,15,28
12002,PNBE,6,4,0,Stormy,4,41
12003,PNBE,6,9,0,Rainy,16,86
12006,NDLS,3,12,0,Clear,17,10
12003,PNBE,5,5,0,Stormy,22,47
12009,CNB,4,8,0,Rainy,2,63
12003,NDLS,5,7,0,Rainy,22,44
12008,HWH,2,11,0,Rainy,7,34
120010,NDLS,5,10,0,Clear,0,65
12008,HWH,1,1,0,Foggy,11,122
12003,LKO,1,3,0,Foggy,6,62
12001,PNBE,2,11,0,Rainy,14,40
12002,NDLS,4,5,0,Foggy,12,66
12009,PNBE,1,6,0,Foggy,20,118
12005,LKO,4,4,0,Clear,12,9
12003,CNB,2,8,0,Stormy,12,16
12005,PNBE,0,3,1,Foggy,13,154
12007,CNB,1,2,0,Foggy,11,40
12007,NDLS,0,6,0,Clear,0,2
12002,HWH,5,12,0,Clear,21,16
120010,PNBE,2,7,0,Rainy,12,20
12005,LKO,4,9,0,Foggy,6,79
12001,BSB,6,5,1,Clear,5,79
120010,NDLS,3,9,0,Foggy,11,47
12007,CNB,1,7,0,Clear,15,40
12001,PNBE,2,6,1,Clear,0,43
12004,DDU,5,6,1,Foggy,16,110
12005,CNB,6,9,1,Rainy,20,105
12002,HWH,3,3,0,Stormy,13,26
12008,DDU,0,7,0,Rainy,9,30
120010,NDLS,6,7,0,Rainy,23,19
12006,DDU,1,10,1,Rainy,20,89
12002,LKO,4,7,0,Foggy,4,82
12002,NDLS,4,8,0,Foggy,8,64
12001,PNBE,5,9,0,Rainy,5,45
12003,PNBE,5,5,0,Clear,19,33
12008,LKO,6,1,0,Rainy,10,91
12002,DDU,0,11,1,Clear,18,61
120010,DDU,1,11,0,Stormy,3,10
12008,CNB,6,3,0,Stormy,9,10
12008,PNBE,3,4,0,Stormy,15,18
120010,LKO,6,2,0,Stormy,18,34
12001,BSB,4,8,0,Foggy,10,93
12007,CNB,3,4,0,Clear,6,28
12005,PNBE,6,12,0,Foggy,20,79
12009,LKO,2,3,0,Rainy,17,19
12001,HWH,4,10,0,Rainy,13,59
12004,DDU,5,12,0,Foggy,0,105
12001,PNBE,6,12,0,Clear,12,26
12006,NDLS,5,1,0,Clear,13,30
12006,PNBE,1,7,0,Rainy,23,27
12002,PNBE,1,5,1,Rainy,18,81
12001,NDLS,3,6,0,Rainy,21,24
12007,NDLS,1,11,0,Clear,3,30
12003,NDLS,2,2,0,Rainy,19,41
12003,BSB,5,9,0,Stormy,3,42
12007,NDLS,3,1,0,Clear,11,0
12001,HWH,4,9,0,Rainy,19,35
12008,BSB,1,3,0,Foggy,20,39
12005,PNBE,3,1,0,Clear,16,30
120010,PNBE,1,9,1,Stormy,5,52
12004,DDU,6,10,0,Stormy,16,51
120010,HWH,1,10,0,Clear,6,12
12001,PNBE,6,9,0,Rainy,23,70
12002,BSB,1,8,0,Stormy,17,12
12001,BSB,4,8,0,Clear,1,14
12009,BSB,3,4,0,Stormy,0,7
12006,DDU,2,10,0,Foggy,16,94
12006,HWH,3,9,0,Rainy,7,50
120010,BSB,4,5,0,Stormy,20,9
120010,BSB,5,2,0,Stormy,2,25
12009,LKO,3,5,1,Clear,10,82
12008,NDLS,5,1,0,Clear,3,35
12003,NDLS,0,7,0,Stormy,20,29
12006,HWH,2,8,0,Clear,5,33
12002,PNBE,5,9,0,Clear,9,41
12008,BSB,4,9,0,Clear,20,10
12004,NDLS,4,4,0,Rainy,21,53
12005,HWH,1,12,0,Clear,22,26
12009,BSB,5,3,0,Stormy,13,40
12001,PNBE,6,1,0,Rainy,17,65
12007,BSB,6,10,0,Foggy,18,53
12008,LKO,0,5,0,Rainy,3,54
12009,PNBE,5,3,0,Clear,14,20
12004,LKO,4,12,0,Stormy,23,20
12007,BSB,2,1,0,Foggy,4,63
12006,DDU,3,6,0,Foggy,7,99
12007,NDLS,6,12,0,Foggy,6,91
12008,PNBE,0,9,0,Foggy,6,110
12009,CNB,5,2,0,Clear,12,18
120010,NDLS,5,7,0,Foggy,6,61
12003,HWH,5,8,0,Foggy,2,142
12007,LKO,3,6,1,Foggy,9,163
12005,HWH,0,1,0,Clear,7,1
12005,HWH,2,7,0,Rainy,20,44
12007,CNB,3,12,0,Foggy,2,110
12005,DDU,3,12,0,Stormy,6,0
12004,LKO,4,2,0,Rainy,7,61
120010,CNB,0,1,0,Foggy,2,97
12003,NDLS,4,10,0,Stormy,5,15
12004,CNB,2,2,0,Stormy,16,32
12004,CNB,1,5,0,Foggy,14,85
12004,DDU,5,6,0,Rainy,3,72
12007,CNB,4,4,0,Foggy,15,113
120010,PNBE,2,12,0,Rainy,9,49
12009,BSB,6,6,0,Stormy,13,13
12003,NDLS,3,7,0,Clear,1,0
12004,LKO,1,9,0,Foggy,13,80
12005,NDLS,4,5,0,Stormy,12,13
12009,NDLS,2,10,0,Foggy,10,59
120010,CNB,1,9,0,Rainy,16,77
12006,DDU,1,8,0,Stormy,17,6
12008,CNB,1,5,0,Foggy,0,76
120010,CNB,1,12,0,Foggy,14,47
12003,NDLS,2,2,0,Foggy,12,82
12001,CNB,3,4,0,Clear,19,36
12009,NDLS,6,9,0,Clear,0,42
12001,PNBE,5,9,0,Clear,0,20
12002,PNBE,0,5,1,Foggy,10,115
12003,NDLS,2,12,0,Foggy,16,124
120010,CNB,6,2,0,Rainy,5,72
12004,PNBE,6,2,0,Rainy,20,48
12001,LKO,6,6,0,Rainy,8,59
12003,LKO,6,1,0,Foggy,17,142
12007,NDLS,0,4,0,Clear,5,25
12007,DDU,1,10,0,Foggy,19,61
12002,PNBE,6,9,0,Rainy,20,75
12001,LKO,3,5,0,Clear,13,18
12006,NDLS,1,4,0,Clear,14,18
120010,CNB,0,6,0,Stormy,16,35
120010,DDU,5,3,0,Clear,10,36
12009,PNBE,6,3,0,Clear,14,45
12004,LKO,1,8,0,Rainy,9,38
12007,CNB,3,6,0,Clear,0,22
12009,LKO,3,4,0,Foggy,19,143
12002,PNBE,5,8,0,Foggy,12,66
12002,PNBE,4,5,0,Clear,6,15
12009,PNBE,2,2,0,Rainy,5,50
12003,NDLS,6,7,0,Foggy,11,163
12009,BSB,5,12,0,Rainy,19,47
120010,PNBE,6,11,0,Foggy,12,83
12009,CNB,4,6,0,Clear,20,0
12006,DDU,0,1,0,Clear,8,0
12007,HWH,2,3,0,Foggy,15,96
12009,CNB,1,7,0,Foggy,11,100
12006,DDU,5,8,0,Foggy,22,145
12007,BSB,4,5,0,Clear,14,4
12008,NDLS,3,3,1,Rainy,19,108
12009,CNB,6,7,0,Foggy,7,136
12007,LKO,3,7,0,Rainy,6,49
12009,BSB,1,3,0,Clear,16,25
12004,PNBE,0,12,0,Stormy,4,40
120010,BSB,0,6,0,Foggy,0,79
120010,HWH,6,4,0,Rainy,11,76
12007,PNBE,4,3,0,Stormy,23,23
12005,PNBE,3,4,1,Stormy,12,16
12008,NDLS,1,1,0,Rainy,20,24
120010,LKO,5,6,0,Clear,14,30
12006,NDLS,0,4,0,Foggy,20,127
12006,LKO,1,1,0,Foggy,10,133
12006,PNBE,6,9,0,Stormy,9,49
12001,CNB,5,8,0,Foggy,17,141
12002,HWH,0,1,0,Foggy,19,86
12003,NDLS,2,5,0,Foggy,15,99
12007,DDU,0,1,0,Clear,20,9
12007,NDLS,0,7,0,Clear,11,12
12002,PNBE,6,2,0,Clear,18,31
12006,HWH,1,1,0,Stormy,22,34
12002,LKO,4,11,0,Rainy,17,25
12006,NDLS,1,12,0,Stormy,2,25
12003,NDLS,1,1,0,Stormy,9,10
12006,NDLS,0,10,0,Stormy,4,18
12009,HWH,3,7,0,Rainy,8,51
12004,NDLS,0,9,0,Foggy,16,112
12003,NDLS,6,1,0,Clear,4,40
12001,DDU,5,6,0,Rainy,3,83
12009,CNB,1,1,0,Stormy,15,16
12006,PNBE,0,3,0,Rainy,15,33
120010,DDU,4,3,0,Foggy,9,77
12008,NDLS,3,5,0,Clear,4,23
12009,DDU,0,12,0,Clear,3,15
120010,PNBE,3,12,0,Clear,5,0
12005,PNBE,3,7,0,Rainy,11,61
12002,NDLS,2,12,0,Foggy,8,133
12004,NDLS,3,12,0,Clear,21,21
12008,NDLS,6,6,1,Stormy,8,65
12004,LKO,4,4,0,Clear,2,38
12009,LKO,5,12,1,Stormy,10,93
12002,PNBE,1,8,1,Rainy,5,76
12007,HWH,0,10,0,Rainy,2,37
120010,PNBE,5,4,0,Foggy,9,77
12002,HWH,6,11,0,Rainy,2,61
120010,BSB,6,11,0,Clear,4,63
12004,DDU,3,11,0,Rainy,12,35
12001,BSB,4,6,0,Rainy,15,55
120010,NDLS,6,1,0,Foggy,18,143
12006,NDLS,2,8,0,Foggy,11,45
12003,LKO,2,3,1,Foggy,23,146
12004,HWH,2,11,0,Stormy,13,0
12005,NDLS,2,5,0,Clear,2,4
12006,BSB,1,11,0,Rainy,6,31
12003,BSB,2,2,0,Clear,21,19
12006,DDU,0,2,0,Clear,13,17
12002,HWH,3,4,0,Foggy,5,71
12004,DDU,0,6,0,Clear,7,3
12004,CNB,3,10,0,Stormy,9,17
12003,CNB,5,6,0,Stormy,4,58
120010,BSB,5,9,0,Clear,2,38
12009,LKO,3,9,0,Clear,1,27
12009,BSB,6,10,0,Stormy,0,56
12002,NDLS,0,11,0,Foggy,0,65
12009,PNBE,0,10,0,Foggy,7,87
12004,BSB,1,9,1,Rainy,14,74
12005,DDU,4,5,0,Foggy,12,89
12002,BSB,0,1,0,Foggy,16,105
12004,CNB,5,2,0,Stormy,19,28
12001,DDU,1,7,0,Stormy,18,25
120010,DDU,1,5,0,Clear,6,24
12007,BSB,5,8,0,Stormy,16,24
12009,DDU,5,1,0,Stormy,17,32
12009,LKO,3,8,0,Foggy,21,79
12009,CNB,1,3,0,Clear,12,7
12009,CNB,5,4,0,Stormy,18,22
12001,PNBE,6,8,0,Foggy,1,55
12001,NDLS,2,10,0,Rainy,0,16
120010,DDU,4,4,0,Clear,13,26
12005,DDU,1,9,0,Foggy,3,108
120010,BSB,3,3,0,Clear,8,13
12007,NDLS,3,5,0,Stormy,4,27
12008,CNB,3,9,0,Stormy,5,4
120010,NDLS,4,12,0,Clear,14,2
12009,NDLS,1,6,0,Stormy,17,22
12001,CNB,4,5,0,Clear,22,15
12009,HWH,1,5,0,Rainy,5,18
12007,BSB,6,12,0,Stormy,19,37
120010,BSB,1,12,0,Clear,15,15
12003,CNB,1,2,0,Rainy,11,50
12003,BSB,0,3,0,Clear,0,0
12009,BSB,4,5,1,Rainy,17,53
12009,LKO,1,11,0,Foggy,0,89
12005,PNBE,3,9,0,Stormy,4,24
12004,CNB,3,5,0,Rainy,23,45
12008,HWH,0,7,0,Foggy,2,99
12004,PNBE,0,5,0,Stormy,2,39
12003,LKO,4,8,0,Foggy,18,64
12003,DDU,2,8,0,Stormy,13,16
12006,HWH,4,3,1,Foggy,11,154
12002,PNBE,3,1,0,Foggy,18,32
12006,CNB,5,6,0,Stormy,0,33
12002,PNBE,0,3,0,Rainy,8,49
120010,CNB,5,6,0,Rainy,15,85
12001,PNBE,3,3,0,Clear,7,6
12001,CNB,2,5,1,Rainy,8,86
12002,LKO,5,3,0,Rainy,10,57
12002,NDLS,0,12,0,Rainy,0,38
12005,CNB,3,1,0,Rainy,18,46
12002,NDLS,3,1,0,Rainy,18,50
12001,HWH,1,2,0,Rainy,4,35
12007,LKO,0,10,0,Stormy,15,21
12004,BSB,2,11,0,Stormy,19,23
12004,PNBE,4,10,0,Clear,6,16
12008,PNBE,3,5,1,Foggy,2,108
12006,BSB,1,5,0,Stormy,12,20
12009,DDU,0,5,0,Foggy,22,94
12009,LKO,6,10,0,Rainy,22,38
12007,DDU,4,1,0,Rainy,1,39
120010,HWH,5,11,0,Foggy,0,142
12004,DDU,4,6,0,Foggy,5,41
12008,PNBE,5,11,0,Stormy,23,32
12009,PNBE,3,11,0,Clear,0,29
12006,CNB,2,2,0,Foggy,13,74
12005,CNB,5,10,0,Stormy,4,40
12002,DDU,2,11,1,Foggy,6,95
12009,DDU,1,1,0,Foggy,12,53
12003,HWH,2,11,0,Rainy,18,64
12005,PNBE,5,2,0,Clear,7,42
12002,PNBE,5,5,1,Foggy,0,103
12006,BSB,4,6,0,Rainy,0,34
120010,HWH,1,10,0,Clear,12,2
12008,HWH,5,9,0,Rainy,6,61
12005,HWH,6,1,0,Clear,10,35
12006,LKO,1,4,0,Foggy,0,96
12002,CNB,1,1,0,Stormy,9,12
12009,PNBE,4,2,0,Stormy,4,28
12004,LKO,1,6,0,Clear,5,7
12002,DDU,6,8,0,Clear,20,49
12002,LKO,3,8,0,Foggy,23,65
12007,BSB,6,2,0,Stormy,0,50
12004,CNB,1,2,0,Foggy,17,119
12003,BSB,6,8,0,Stormy,16,30
12002,NDLS,4,12,0,Rainy,5,8
12002,CNB,3,5,0,Rainy,15,31
120010,CNB,6,9,0,Clear,12,27
12005,BSB,0,10,0,Stormy,12,22
120010,HWH,2,12,0,Rainy,2,26
12006,BSB,6,2,0,Stormy,22,20
12008,BSB,3,6,0,Foggy,16,112
120010,CNB,0,12,0,Foggy,14,47
12004,DDU,0,4,0,Stormy,14,24
12005,CNB,5,9,0,Rainy,19,74
120010,PNBE,1,8,0,Stormy,15,24
120010,NDLS,4,1,0,Foggy,6,87
12004,DDU,0,3,1,Clear,17,18
120010,BSB,4,3,1,Stormy,10,96
12007,PNBE,2,9,0,Rainy,11,39
12008,HWH,0,12,0,Clear,3,6
12008,HWH,5,8,0,Stormy,3,26
12004,BSB,2,1,0,Stormy,2,8
12004,NDLS,0,10,0,Rainy,22,15
12002,PNBE,0,9,0,Rainy,17,26
120010,PNBE,0,11,0,Rainy,12,13
12008,CNB,3,10,0,Stormy,2,24
120010,DDU,5,4,0,Foggy,21,105
12004,BSB,4,1,0,Foggy,2,56
12008,BSB,3,3,1,Foggy,21,85
12001,HWH,3,5,0,Foggy,9,59
12002,CNB,5,1,0,Rainy,8,89
12009,BSB,2,7,0,Rainy,23,54
120010,BSB,1,11,0,Foggy,19,69
12007,NDLS,5,6,0,Clear,9,32
12009,LKO,1,9,0,Clear,14,6
12001,LKO,1,11,0,Clear,10,21
12006,NDLS,1,4,0,Foggy,21,125
12006,CNB,5,3,0,Rainy,7,24
12005,PNBE,4,9,0,Foggy,3,72
12003,PNBE,3,4,0,Clear,21,0
12006,BSB,6,3,0,Stormy,22,30
12001,DDU,0,1,1,Rainy,4,85
12007,CNB,1,1,0,Rainy,15,60
12009,DDU,0,2,0,Foggy,18,99
12008,BSB,4,11,0,Clear,22,7
12005,PNBE,1,11,0,Stormy,2,0
120010,PNBE,5,5,0,Foggy,3,129
12008,PNBE,4,10,1,Foggy,8,152
120010,DDU,1,8,0,Clear,2,26
12005,CNB,0,6,0,Rainy,14,66
12001,CNB,5,1,0,Rainy,23,56
12009,CNB,5,7,0,Rainy,14,49
12009,LKO,3,12,0,Rainy,17,26
12007,CNB,3,1,0,Rainy,14,23
12008,HWH,0,12,0,Rainy,13,63
12002,DDU,3,8,0,Foggy,13,46
12004,HWH,5,5,0,Foggy,7,70
12006,HWH,1,4,0,Rainy,23,31
12006,LKO,2,1,0,Rainy,22,46
12005,BSB,1,12,0,Rainy,21,54
12005,HWH,4,1,0,Rainy,4,32
12006,DDU,1,11,0,Foggy,12,92
12007,LKO,6,3,0,Clear,8,39
12005,DDU,6,10,0,Rainy,16,72
12001,LKO,5,10,0,Stormy,13,40
12008,LKO,1,6,0,Foggy,17,121
12004,CNB,2,8,0,Stormy,19,22
12006,HWH,0,2,1,Clear,6,91
12005,HWH,1,7,0,Rainy,6,9
120010,DDU,0,9,1,Clear,6,88
12008,LKO,1,1,0,Clear,16,5
12008,PNBE,1,5,0,Clear,10,18
12001,DDU,5,12,0,Rainy,5,92
12009,HWH,4,4,0,Stormy,18,24
12002,BSB,1,11,0,Stormy,11,28
12005,NDLS,4,2,0,Stormy,3,0
12001,DDU,2,1,0,Rainy,17,50
12008,DDU,0,11,0,Rainy,4,74
120010,PNBE,5,6,0,Rainy,2,66
12009,HWH,4,3,0,Stormy,21,20
12004,NDLS,0,2,0,Rainy,18,62
12002,HWH,0,11,0,Rainy,18,35
12001,BSB,4,3,0,Clear,15,16
12007,CNB,4,10,0,Clear,2,24
12007,NDLS,2,12,0,Stormy,12,17
12001,PNBE,0,5,0,Foggy,13,82
12009,NDLS,0,11,0,Clear,1,28
12009,DDU,1,4,0,Stormy,21,33
12001,HWH,5,9,0,Rainy,8,93
12004,PNBE,4,11,0,Clear,23,5
120010,HWH,6,1,0,Foggy,17,124
12006,LKO,2,8,0,Stormy,0,1
120010,DDU,0,1,0,Foggy,13,102
120010,HWH,1,2,1,Rainy,5,54
12004,PNBE,1,5,0,Stormy,7,16
120010,NDLS,1,10,0,Foggy,15,88
12006,NDLS,5,4,0,Foggy,6,133
120010,HWH,3,8,0,Rainy,14,49
12007,NDLS,0,12,0,Foggy,22,33
12001,NDLS,3,8,0,Stormy,22,19
12003,PNBE,1,2,0,Rainy,12,45
12006,CNB,2,3,0,Foggy,3,39
12001,PNBE,0,4,0,Rainy,12,62
12005,LKO,2,2,0,Rainy,16,54
120010,BSB,5,5,0,Clear,4,24
12008,BSB,0,4,0,Foggy,20,96
12008,BSB,3,11,0,Clear,23,7
12003,DDU,4,5,0,Clear,12,21
12009,CNB,6,4,0,Foggy,0,137
12006,BSB,2,1,0,Foggy,14,57
12009,LKO,3,7,0,Clear,11,30
120010,DDU,4,5,0,Rainy,11,24
12001,HWH,0,3,0,Rainy,20,50
12009,NDLS,0,9,0,Stormy,0,8
12005,NDLS,5,12,0,Foggy,12,80
12001,PNBE,6,7,0,Foggy,8,105
12001,NDLS,6,5,0,Clear,20,19
12009,BSB,0,5,0,Stormy,11,8
12001,BSB,6,9,0,Foggy,21,86
12007,CNB,0,1,0,Stormy,11,28
12002,DDU,1,9,0,Foggy,15,63
12005,BSB,2,5,0,Rainy,16,27
12009,DDU,3,11,0,Rainy,10,41
12002,PNBE,4,6,0,Clear,15,23
12008,BSB,5,6,0,Clear,3,36
12001,PNBE,0,1,1,Foggy,19,111
12006,BSB,4,2,0,Foggy,3,127
12003,PNBE,0,5,0,Clear,18,23
12004,NDLS,1,6,0,Rainy,10,35
12007,DDU,3,5,0,Clear,3,4
12004,CNB,1,7,1,Foggy,13,185
12001,LKO,6,12,0,Clear,17,32
12009,PNBE,2,8,0,Clear,0,31
12004,PNBE,3,8,0,Stormy,8,9
12002,HWH,2,7,0,Foggy,14,95
12005,NDLS,4,9,0,Rainy,12,58
12009,DDU,3,11,1,Clear,21,39
12001,DDU,4,11,0,Stormy,4,2
120010,BSB,0,4,0,Stormy,0,0
12006,CNB,4,9,1,Rainy,11,68
12007,DDU,1,9,0,Clear,19,0
12001,NDLS,0,4,0,Stormy,16,5
12005,DDU,3,8,0,Clear,22,32
12008,DDU,5,3,1,Stormy,5,65
120010,NDLS,6,6,0,Rainy,2,43
120010,NDLS,6,9,0,Rainy,22,40
12009,NDLS,6,12,0,Stormy,7,23
12001,CNB,3,6,0,Stormy,10,24
12007,PNBE,5,8,0,Rainy,14,49
12006,DDU,3,2,0,Foggy,0,48
12001,LKO,1,7,0,Rainy,14,55
12007,HWH,5,7,0,Foggy,20,97
12009,PNBE,3,2,0,Stormy,17,10
